scheme_code,scheme_name,Risk
100494, Franklin India Government Securities Fund - IDCW ,Low to Moderate
100496, Templeton India Value Fund - Growth Plan,Low to Moderate
100497, Templeton India Value Fund - IDCW ,Low to Moderate
100498, Franklin India Dynamic Accrual Fund - IDCW ,Low to Moderate
100499, Franklin India Dynamic Accrual Fund-Growth,Low to Moderate
100503, Franklin India Low Duration Fund - Monthly - IDCW,Low to Moderate
100504, Franklin India Low Duration Fund - Quarterly - IDCW,Low to Moderate
100519, Franklin India Flexi Cap Fund - IDCW ,Low to Moderate
100520, Franklin India Flexi Cap Fund - Growth,Low to Moderate
100521, Franklin India Technology Fund - IDCW ,Low to Moderate
100522, Franklin India Technology Fund-Growth,Low to Moderate
100524, Franklin INDIA OPPORTUNITIES FUND - IDCW ,Low to Moderate
100525, Franklin India TAXSHIELD - IDCW ,Low to Moderate
100526, Franklin India Taxshield-Growth,Low to Moderate
100537, Franklin India Liquid Fund - Regular Plan - Weekly - IDCW,Low to Moderate
100538, Franklin India Liquid Fund - Regular Plan - Growth,Low to Moderate
100541, Franklin India Liquid Fund - Regular Plan - Daily - IDCW,Low to Moderate
100546, Franklin India Liquid Fund - Super Institutional Plan - Growth,Low to Moderate
100547, Franklin India Liquid Fund - Super Institutional Plan - Daily - IDCW,Low to Moderate
100548, Franklin India Liquid Fund - Super Institutional Plan - Weekly - IDCW,Low to Moderate
100549, Franklin India Equity Hybrid Fund - IDCW ,Low to Moderate
100550, Franklin India Equity Hybrid Fund - Growth Plan,Low to Moderate
100630, quant Active Fund-IDCW Option - Regular Plan,Low to Moderate
100631, quant Active Fund-GROWTH OPTION - Regular Plan,Low to Moderate
100638, SBI Magnum Income Fund - Regular Plan - Half Yearly - Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
100639, SBI Magnum Income Fund-REGULAR PLAN-Growth,Low to Moderate
100640, SBI Magnum Income Fund-REGULAR PLAN-Bonus,Low to Moderate
100641, SBI MAGNUM ULTRA SHORT DURATION FUND - REGULAR PLAN - GROWTH,Low to Moderate
100643, SBI Technology Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
100644, SBI Healthcare Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
100645, SBI Consumption Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
100837, Nippon India Liquid Fund - Retail Option - Growth Plan,Low to Moderate
100838, NIPPON INDIA LIQUID FUND - RETAIL Plan - WEEKLY IDCW OPTION,Low to Moderate
100842, NIPPON INDIA LIQUID FUND - RETAIL Plan - DAILY IDCW OPTION,Low to Moderate
100843, NIPPON INDIA LIQUID FUND - RETAIL plan - MONTHLY IDCW OPTION,Low to Moderate
100844, NIPPON INDIA LIQUID FUND - RETAIL Plan - QUARTERLY IDCW OPTION,Low to Moderate
100845, Reliance Liquid Fund-Cash Plan-Growth Plan,Low to Moderate
100848, Reliance Liquid Fund-Cash Plan-Weekly Dividend Reinvestment Option,Low to Moderate
100849, Reliance Liquid Fund-Cash Plan-Daily Dividend Reinvestment Option,Low to Moderate
100851, Nippon India Liquid Fund -Growth Plan,Low to Moderate
100852, NIPPON INDIA LIQUID FUND - DAILY IDCW OPTION,Low to Moderate
100853, NIPPON INDIA LIQUID FUND - WEEKLY IDCW OPTION,Low to Moderate
100855, NIPPON INDIA LIQUID FUND - MONTHLY IDCW OPTION,Low to Moderate
100868, HDFC Liquid Fund - Growth Plan,Low to Moderate
100872, HDFC Liquid Fund-PREMIUM PLUS- Growth,Low to Moderate
100874, HDFC Liquid Fund - IDCW Plan Weekly,Low to Moderate
100875, HDFC Liquid Fund - IDCW Daily,Low to Moderate
100876, HDFC Liquid Fund - IDCW Monthly,Low to Moderate
100878, HDFC Liquid Fund-Premium Plan - Dividend-Weekly,Low to Moderate
100881, HDFC Liquid Fund-Premium Plus Plan - Dividend-Weekly,Low to Moderate
100895, Principal Cash Management Fund - Daily Income Distribution CUM Capital Withdrawal,Low to Moderate
100896, Principal Cash Management Fund - Weekly Income Distribution CUM Capital Withdrawal Option,Low to Moderate
100897, Principal Cash Management Fund - Monthly Income Distribution CUM Capital Withdrawal Option,Low to Moderate
100898, Principal Cash Management Fund -Growth Option,Low to Moderate
100915, SBI Contra Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
100927, SBI Debt Hybrid Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
100928, SBI Debt Hybrid Fund - Regular Plan - Quarterly Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
100929, SBI Debt Hybrid Fund - Regular Plan - Annual Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
