scheme_code,scheme_name,Risk
104075, UTI Arbitrage Fund - Regular Plan - Growth Option,Low to Moderate
104138, DSP Ultra Short Fund - Regular Plan - Growth,Low to Moderate
104139, DSP Ultra Short Fund - Regular Plan - IDCW - Weekly Reinvest,Low to Moderate
104140, DSP Ultra Short Fund - Regular Plan - IDCW - Daily Reinvest,Low to Moderate
104240, Taurus Liquid Fund-Dividend,Low to Moderate
104241, Taurus Liquid Fund-Growth,Low to Moderate
104271, JM Ultra Short Duration Fund - Growth option,Low to Moderate
104272, JM Ultra Short Duration Fund - Daily Dividend,Low to Moderate
104308, ICICI Prudential Liquid Fund - Half Yearly IDCW,Low to Moderate
104331, Aditya Birla Sun Life Tax Plan - Regular Plan - Growth Option,Low to Moderate
104342, HSBC Low Duration Fund - Regular - Daily IDCW,Low to Moderate
104343, HSBC Low Duration Fund - Regular - Weekly IDCW,Low to Moderate
104344, HSBC Low Duration Fund  - Growth,Low to Moderate
104348, HSBC Low Duration Fund - Monthly IDCW,Low to Moderate
104349, HSBC Low Duration Fund - Inst.Plus - Daily IDCW,Low to Moderate
104350, HSBC Low Duration Fund  - Regular - Growth,Low to Moderate
104351, HSBC Low Duration Fund - Daily IDCW ,Low to Moderate
104352, HSBC Low Duration Fund - Weekly IDCW,Low to Moderate
104429, HSBC Short Duration Fund - Weekly IDCW,Low to Moderate
104457, SBI Arbitrage Opportunities Fund - Regular Plan - Gr,Low to Moderate
104458, SBI Arbitrage Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
104481, DSP Midcap Fund - Regular Plan - Growth,Low to Moderate
104482, DSP Midcap Fund - Regular Plan - IDCW,Low to Moderate
104484, Invesco India Liquid Fund - Daily IDCW (Reinvestment),Low to Moderate
104485, Invesco India Liquid Fund - Weekly IDCW (Reinvestment),Low to Moderate
104486, Invesco India Liquid Fund - Growth,Low to Moderate
104488, Invesco India Liquid Fund - Regular - Growth,Low to Moderate
104489, Invesco India Liquid Fund - Regular - Weekly IDCW (Reinvestment),Low to Moderate
104492, Invesco India Liquid Fund - Monthly IDCW (Payout / Reinvestment),Low to Moderate
104513, quant Large & Mid Cap Fund - Growth Option,Low to Moderate
104514, quant Large & Mid Cap Fund - IDCW Option - Regular Plan,Low to Moderate
104515, quant Large & Mid Cap Fund - Bonus Option - Regular Plan,Low to Moderate
104523, SBI Magnum Equity ESG Fund- REGULAR PLAN - Growth,Low to Moderate
104559, CANARA ROBECO SAVINGS FUND - REGULAR PLAN - DAILY IDCW (Reinvestment),Low to Moderate
104635, Invesco India Tax Plan - IDCW (Payout / Reinvestment),Low to Moderate
104636, Invesco India Tax Plan - Growth,Low to Moderate
104637, Nippon India Focused Equity Fund -Growth Plan -Growth Option,Low to Moderate
104638, NIPPON INDIA FOCUSED EQUITY FUND - IDCW OPTION,Low to Moderate
104681, ICICI Prudential Equity Arbitrage Fund - IDCW,Low to Moderate
104683, ICICI Prudential Equity Arbitrage Fund - Growth,Low to Moderate
104684, ICICI Prudential Equity - Arbitrage Fund-Institutional Growth Option,Low to Moderate
104685, ICICI Prudential Balanced Advantage Fund - Growth,Low to Moderate
104686, ICICI Prudential Balanced Advantage Fund - IDCW,Low to Moderate
104706, HSBC Tax Saver Equity Fund - IDCW,Low to Moderate
104707, HSBC Tax Saver Equity Fund - Growth,Low to Moderate
104722, Invesco India Treasury Advantage Fund - Regular - Weekly IDCW (Reinvestment),Low to Moderate
104723, Invesco India Treasury Advantage Fund - Regular - Monthly IDCW (Reinvestment),Low to Moderate
104725, Invesco India Treasury Advantage Fund - Weekly IDCW (Payout / Reinvestment),Low to Moderate
104726, Invesco India Treasury Advantage Fund - Growth,Low to Moderate
104727, Invesco India Treasury Advantage Fund - Bonus,Low to Moderate
104728, Invesco India Treasury Advantage Fund - Regular - Growth,Low to Moderate
104729, Invesco India Treasury Advantage Fund - Monthly IDCW (Payout / Reinvestment),Low to Moderate
104762, SBI ONE INDIA FUND - GROWTH (PREVIOUSLY CLOSE ENDED UPTO 14/01/2010),Low to Moderate
104763, SBI ONE INDIA FUND - DIVIDEND (PREVIOUSLY CLOSE ENDED UPTO 14/01/2010),Low to Moderate
104772, DSP Tax Saver Fund - Regular Plan - Growth,Low to Moderate
104773, DSP Tax Saver Fund - Regular Plan - IDCW,Low to Moderate
104898, ICICI Prudential Multi-Asset Fund-Institutional Option - I,Low to Moderate
104907, Kotak Emerging Equity Scheme - Payout of Income Distribution cum capital withdrawal option,Low to Moderate
104908, Kotak Emerging Equity Scheme - Growth,Low to Moderate
105000, Sundaram Large and Midcap Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),Low to Moderate
105001, Sundaram Large and Midcap Fund Regular Plan - Growth,Low to Moderate
105024, Invesco India Treasury Advantage Fund - Regular Daily IDCW (Reinvestment),Low to Moderate
105025, Invesco India Treasury Advantage Fund - Daily IDCW (Reinvestment),Low to Moderate
105067, Franklin India INDEX FUND NIFTY PLAN - IDCW ,Low to Moderate
105080, SBI Magnum Ultra Short Duration Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
105185, Invesco India Short Term Fund - Growth,Low to Moderate
105187, Invesco India Short Term Fund - Plan B - Monthly IDCW (Payout / Reinvestment),Low to Moderate
105189, Invesco India Short Term Fund - Plan B - Growth,Low to Moderate
105190, Invesco India Short Term Fund - Weekly IDCW (Reinvestment),Low to Moderate
105191, Invesco India Short Term Fund - Monthly IDCW (Payout / Reinvestment),Low to Moderate
105192, Invesco India Short Term Fund - Plan B - Weekly IDCW (Reinvestment),Low to Moderate
105229, Nippon India Interval Fund-Monthly Interval Fund-Series-I- Growth Option,Low to Moderate
105230, NIPPON INDIA MONTHLY INTERVAL FUND - SERIES I - IDCW Option,Low to Moderate
105232, Nippon India Interval Fund-Monthly Interval Fund-Series-I-Institutional Plan-Dividend Option,Low to Moderate
105274, SBI Liquid Fund - Institutional - Growth,Low to Moderate
105275, SBI Liquid Fund - Institutional Daily Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
105278, SBI Liquid Fund - Institutional Weekly Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
105279, SBI Liquid Fund - Institutional Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
105280, SBI Liquid Fund - REGULAR PLAN -Growth,Low to Moderate
105281, SBI Liquid Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
105282, SBI Liquid Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
105283, SBI Liquid Fund - Regular Plan - Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
105400, Nippon India Interval Fund-Monthly Interval Fund-Series-II -Growth Option,Low to Moderate
105401, NIPPON INDIA MONTHLY INTERVAL FUND - SERIES II - IDCW Option,Low to Moderate
105402, Nippon India Interval Fund-Monthly Interval Fund-Series-II-Institutional Plan-Dividend Option,Low to Moderate
105417, Taurus Infrastructure Fund - Regular Plan - Growth,Low to Moderate
105418, Taurus Infrastructure Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,Low to Moderate
105433, Nippon India Interval Fund-Quarterly Interval Fund-Series-I - Growth Option,Low to Moderate
105434, NIPPON INDIA INTERVAL FUND - QUARTERLY PLAN - SERIES I - IDCW Option,Low to Moderate
105436, NIPPON INDIA INTERVAL FUND - QUARTERLY PLAN - SERIES I - INSTITUTIONAL IDCW Option,Low to Moderate
105459, Invesco India Contra Fund - IDCW (Payout / Reinvestment),Low to Moderate
105460, Invesco India Contra Fund - Growth,Low to Moderate
105461, Principal Low Duration Fund -Daily Income Distribution CUM Capital Withdrawal Option,Low to Moderate
105463, UTI GOLD Exchange Traded Fund,Low to Moderate
105503, Invesco India Midcap Fund - Growth Option,Low to Moderate
105504, Invesco India Midcap Fund - IDCW (Payout / Reinvestment),Low to Moderate
105543, HDFC Low Duration  Fund - Monthly IDCW,Low to Moderate
105544, HDFC Low Duration Fund- Wholesale- Growth,Low to Moderate
105545, HDFC Low Duration Fund- Wholesale Weekly Dividend,Low to Moderate
105546, HDFC Low Duration Fund- Wholesale Monthly Dividend,Low to Moderate
105547, HDFC Low Duration Fund- Wholesale Daily Dividend,Low to Moderate
105548, HDFC Low Duration  Fund - Daily IDCW,Low to Moderate
105549, Sundaram Low Duration Fund Retail Plan - Weekly Income Distribution cum Capital Withdrawal (IDCW),Low to Moderate
105550, Sundaram Low Duration Fund Retail Plan - Fortnightly Income Distribution cum Capital Withdrawal (IDCW),Low to Moderate
105551, Sundaram Low Duration Fund Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),Low to Moderate
105552, Sundaram Low Duration Fund Retail Plan - Quarterly Income Distribution cum Capital Withdrawal (IDCW),Low to Moderate
105553, Sundaram Low Duration Fund Retail Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),Low to Moderate
105554, Sundaram Low Duration Fund Institutional Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),Low to Moderate
105555, Sundaram Low Duration Fund Institutional Plan - Quarterly Income Distribution cum Capital Withdrawal (IDCW),Low to Moderate
105556, Sundaram Low Duration Fund Regular Plan - Weekly Income Distribution cum Capital Withdrawal (IDCW),Low to Moderate
105557, Sundaram Low Duration Fund Regular Plan - Fortnightly Income Distribution cum Capital Withdrawal (IDCW),Low to Moderate
105558, Sundaram Low Duration Fund Regular Plan - Quarterly Income Distribution cum Capital Withdrawal (IDCW),Low to Moderate
105559, Sundaram Low Duration Fund Institutional Plan - Weekly Income Distribution cum Capital Withdrawal (IDCW),Low to Moderate
105560, Sundaram Low Duration Fund Institutional Plan - Fortnightly Income Distribution cum Capital Withdrawal (IDCW),Low to Moderate
105561, Sundaram Low Duration Fund Institutional Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),Low to Moderate
105562, Sundaram Low Duration Fund Institutional Plan - Growth,Low to Moderate
105563, Sundaram Low Duration Fund Regular Plan - Growth,Low to Moderate
105564, Sundaram Low Duration Fund Retail Plan - Growth,Low to Moderate
105565, Sundaram Low Duration Fund Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),Low to Moderate
105566, Sundaram Low Duration Fund Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),Low to Moderate
105578, UTI - Treasury Advantage Fund - Discontinued - Periodic Dividend Plan,Low to Moderate
105603, Invesco India Arbitrage Fund - Growth Option,Low to Moderate
105604, Invesco India Arbitrage Fund - IDCW (Payout / Reinvestment),Low to Moderate
105605, UTI Treasury Advantage Fund - Regular Plan - Daily IDCW (Reinvestment),Low to Moderate
105627, UTI Treasury Advantage Fund - Regular Plan - Weekly IDCW,Low to Moderate
105628, SBI LONG TERM EQUITY FUND - REGULAR PLAN- GROWTH,Low to Moderate
105637, JM Dynamic Debt Fund (Regular) - Weekly IDCW,Low to Moderate
105638, JM Dynamic Debt Fund - Premium Plan - Daily Dividend Option,Low to Moderate
105639, JM Dynamic Debt Fund (Regular) - Daily IDCW,Low to Moderate
105650, ICICI Prudential Interval Fund - Monthly Interval Plan I - Retail Dividend,Low to Moderate
105651, ICICI Prudential Interval Fund - Monthly Interval Plan I - Retail Growth,Low to Moderate
105658, UTI Treasury Advantage Fund - Regular Plan - Monthly IDCW,Low to Moderate
105659, UTI - Treasury Advantage Fund - Discontinued Flexi Dividend Plan,Low to Moderate
105660, NIPPON INDIA ANNUAL INTERVAL FUND - SERIES I - IDCW Option,Low to Moderate
105661, Nippon India Interval Fund Annual Interval Fund Series-I-Retail Plan Growth Option,Low to Moderate
105662, NIPPON INDIA ANNUAL INTERVAL FUND - SERIES I - RETAIL Plan - IDCW Option,Low to Moderate
105663, Nippon India Interval Fund Annual Interval Fund Series-I- Growth Option,Low to Moderate
105667, DSP Strategic Bond Fund - Regular Plan - IDCW - Monthly,Low to Moderate
105668, DSP Strategic Bond Fund - Regular Plan - IDCW,Low to Moderate
105669, DSP Strategic Bond Fund - Regular Plan - Growth,Low to Moderate
105670, UTI - Treasury Advantage Fund - Discontinued Monthly Dividend Option,Low to Moderate
105689, Nippon India Interval Fund-Quarterly Interval Fund Series-II-Growth Option,Low to Moderate
105691, Nippon India Interval Fund-Quarterly Interval Fund Serie-II-Institutional Plan -Dividend Option,Low to Moderate
105692, NIPPON INDIA QUARTERLY INTERVAL FUND - SERIES II - IDCW Option,Low to Moderate
105710, ICICI Prudential Interval Fund - Quarterly Interval Plan I - Retail Growth,Low to Moderate
105711, ICICI Prudential Interval Fund - Quarterly Interval Plan I - Retail Dividend,Low to Moderate
105757, HDFC Mid-Cap Opportunities Fund - IDCW Plan,Low to Moderate
105758, HDFC Mid-Cap Opportunities Fund - Growth Plan,Low to Moderate
105804, Aditya Birla Sun Life Small Cap Fund - GROWTH,Low to Moderate
105805, Aditya Birla Sun Life Small Cap Fund -Regular - IDCW,Low to Moderate
105816, Franklin India Focused Equity Fund - IDCW ,Low to Moderate
105817, Franklin India Focused Equity Fund - Growth Plan,Low to Moderate
105875, DSP Flexi Cap Fund - Regular Plan - Growth,Low to Moderate
105878, DSP Strategic Bond Fund - Regular Plan - IDCW - Weekly,Low to Moderate
105881, Aditya Birla Sun Life Savings Fund-Weekly - retail IDCW,Low to Moderate
105882, Nippon India Interval Fund-Quarterly Interval Fund-Series-III-Institutional Plan-Growth Option,Low to Moderate
105883, NIPPON INDIA QUARTERLY INTERVAL FUND - SERIES III - INSTITUTIONAL IDCW Option,Low to Moderate
105884, Nippon India Interval Fund-Quarterly Interval Fund-Series-III- Growth Option,Low to Moderate
105885, NIPPON INDIA QUARTERLY INTERVAL FUND - SERIES III - IDCW Option,Low to Moderate
105887, Aditya Birla Sun Life Savings Fund-Regular - weekly IDCW,Low to Moderate
105888, Aditya Birla Sun Life Savings Fund-Regular - DAILY IDCW,Low to Moderate
105907, ICICI Prudential Interval Fund - Quarterly Interval Plan II - Retail Dividend,Low to Moderate
105908, ICICI Prudential Interval Fund - Quarterly Interval Plan II - Retail Growth,Low to Moderate
105967, Kotak Equity Arbitrage Fund - Payout of Income Distribution cum capital withdrawal option,Low to Moderate
105968, Kotak Equity Arbitrage Fund - Growth,Low to Moderate
105989, DSP Small Cap Fund - Regular - Growth,Low to Moderate
106057, UTI FIIF Quarterly Interval Plan I - Regular Plan - IDCW,Low to Moderate
106060, UTI Fixed  Income Interval Fund ( Quarterly Interval Plan - I) - Regular Plan - Growth Option,Low to Moderate
106095, SBI Infrastructure Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
106096, SBI INFRASTRUCTURE FUND -  REGULAR PLAN - GROWTH,Low to Moderate
106101, JM Ultra Short Duration Fund - Fortnightly Dividend,Low to Moderate
106104, JM Ultra Short Duration Fund - Weekly Dividend,Low to Moderate
106131, Tata Corporate Bond Fund-Regular Plan - Weekly Dividend,Low to Moderate
106141, ICICI Prudential Interval Fund - Quarterly Interval Plan III - Retail Dividend,Low to Moderate
106142, ICICI Prudential Interval Fund - Quarterly Interval Plan III - Retail Growth,Low to Moderate
106143, Invesco India Growth Opportunities Fund - IDCW (Payout / Reinvestment),Low to Moderate
106144, Invesco India Growth Opportunities Fund - Growth,Low to Moderate
106145, UTI - Fixed Income Interval Fund - Monthly Interval Plan  - Regular Plan - Growth Option,Low to Moderate
106146, UTI FIIF Monthly Interval Plan I - Regular Plan - Monthly IDCW,Low to Moderate
106157, Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,Low to Moderate
106166, CANARA ROBECO EQUITY HYBRID FUND - REGULAR PLAN - GROWTH OPTION,Low to Moderate
106167, CANARA ROBECO EQUITY HYBRID FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment),Low to Moderate
106168, JM Value Fund (Regular) - IDCW,Low to Moderate
106169, quant Infrastructure Fund - IDCW Option - Regular Plan,Low to Moderate
106170, quant Infrastructure Fund - Growth Option,Low to Moderate
106171, Invesco India Corporate Bond Fund - Monthly IDCW (Payout / Reinvestment),Low to Moderate
106172, Invesco India Corporate Bond Fund - Quarterly IDCW (Payout / Reinvestment),Low to Moderate
106177, Invesco India Corporate Bond Fund - Growth,Low to Moderate
106179, Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment),Low to Moderate
106183, UTI Fixed Income Interval Fund - Annual Interval Plan Series - I - Regular Plan - Growth Option,Low to Moderate
106185, UTI Fixed Income Interval Fund - Annual Interval Plan Series - I ( Instn Growth Option ),Low to Moderate
106186, UTI FIIF Annual Intervl Plan I - Regular Plan - IDCW,Low to Moderate
106193, KOTAK GOLD ETF,Low to Moderate
106212, SBI MAGNUM LOW DURATION FUND - REGULAR PLAN - GROWTH,Low to Moderate
106213, SBI Magnum Low Duration Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
106214, SBI Magnum Low Duration Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
106215, SBI Magnum Low Duration Fund - Regular Plan - Fornightly Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
106216, SBI Magnum Low Duration Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
106217, SBI Short Horizon Debt Fund - Ultra Short Term Fund - Institutional Plan - Growth,Low to Moderate
106221, SBI Short Horizon Debt Fund - Ultra Short Term Fund - Institutional Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
106222, SBI Short Horizon Debt Fund - Ultra Short Term Fund- Institutional Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
106223, SBI Short Horizon Debt Fund -Ultra Short Term Fund - Institutional Plan - Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
106224, SBI Short Horizon Debt Fund - Ultra Short Term Fund - Institutional Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
106227, SBI SHORT HORIZON DEBT FUND-SHORT TERM FUND - RETAIL - GROWTH,Low to Moderate
106228, SBI Short Horizon Debt Fund - Short Term Fund - Retail Dividend - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
106229, SBI Short Horizon Debt Fund - Short Term Fund - Retail Dividend - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
106230, SBI Short Horizon Debt Fund - Short Term Fund - Retail Dividend - Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
106231, SBI SHORT TERM DEBT FUND - REGULAR PLAN -GROWTH,Low to Moderate
106232, SBI Short Term Debt Fund - Regular Plan Weekly Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
106233, SBI Short Term Debt Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
106234, SBI Short Term Debt Fund - Regular Plan Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
106235, Nippon India Large Cap  Fund- Growth Plan -Growth Option,Low to Moderate
106236, NIPPON INDIA LARGE CAP FUND - IDCW Option,Low to Moderate
106238, Nippon India Large Cap Fund-Institutional Plan Growth Plan Bonus Option,Low to Moderate
106240, Nippon India Large Cap Fund- Growth Plan Bonus Option,Low to Moderate
106252, Nippon India Multi Cap Fund Institutional Dividend Plan,Low to Moderate
106253, Nippon India Multi Cap Fund Institutional Plan Growth Plan Growth Option,Low to Moderate
106255, Nippon India Vision Fund Institutional Dividend Plan,Low to Moderate
106260, NIPPON INDIA GROWTH FUND - INSTITUTIONAL Plan - IDCW Option,Low to Moderate
106290, ICICI Prudential Interval Fund - Annual Interval Plan I - Retail Dividend,Low to Moderate
106291, ICICI Prudential Interval Fund Annual Interval Plan I -  Growth,Low to Moderate
106292, ICICI Prudential Interval Fund - Annual Interval Plan I - Retail Growth,Low to Moderate
106293, ICICI Prudential Interval Fund Annual Interval Plan I - Dividend,Low to Moderate
106316, Invesco India Dynamic Equity Fund - IDCW (Payout / Reinvestment),Low to Moderate
106317, Invesco India Dynamic Equity Fund - Growth,Low to Moderate
106337, UTI FIIF Annual Interval Plan II - Regular Plan - IDCW,Low to Moderate
106338, UTI F I I F-Annual Interval Plan Series - II - Regular Plan - Growth Option,Low to Moderate
106365, UTI FIIF Quarterly Interval Plan III - Regular Plan - IDCW,Low to Moderate
106366, UTI Fixed  Income Interval Fund ( Quarterly Interval Plan - III) -Regular Plan - Growth Option,Low to Moderate
106367, UTI Fixed  Income Interval Fund ( Quarterly Interval Plan -III) - Inst Dividend Plan,Low to Moderate
106369, Sundaram Global Brand Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),Low to Moderate
106370, Sundaram Global Brand Fund Regular Plan - Growth,Low to Moderate
106383, UTI - Short Term Income Fund - Discontinued Regular Option - Dividend Sub Option,Low to Moderate
106384, UTI - Short Term Income Fund - Discontinued Regular Option -Growth Sub Option,Low to Moderate
106411, Aditya Birla Sun Life Interval Income Fund - Quarterly Series 1 - Regular - IDCW,Low to Moderate
106412, Aditya Birla Sun Life Interval Income Fund - Quarterly Series 1 - Growth - Regular Plan,Low to Moderate
106413, Aditya Birla Sun Life Interval Income Fund - Quarterly Series 1 - institutional - IDCW,Low to Moderate
106425, UTI India Consumer Fund - Regular Plan - Growth Option,Low to Moderate
106426, UTI India Consumer Fund - Regular Plan - IDCW,Low to Moderate
106441, Kotak Global Emerging Market Fund - Growth,Low to Moderate
106442, Kotak Global Emerging Market Fund - Payout of Income Distribution cum capital withdrawal option,Low to Moderate
106549, UTI - Fixed Income Interval Fund - Monthly Interval Plan - Institutional Dividend Option,Low to Moderate
106596, DSP World Gold Fund - Regular Plan - IDCW,Low to Moderate
106597, DSP World Gold Fund - Regular Plan - Growth,Low to Moderate
106624, UTI - Short Term Income Fund - Regular Plan - Growth Option,Low to Moderate
106653, Invesco India Infrastructure Fund - IDCW (Payout / Reinvestment),Low to Moderate
106654, Invesco India Infrastructure Fund - Growth Option,Low to Moderate
106706, UTI FIIF Annual Interval Plan III - Regular Plan - IDCW,Low to Moderate
106707, UTI Fixed Interval Income Fund (Annual Interval Fund)  Series III - Regular Plan - Growth Option,Low to Moderate
106709, UTI Fixed Interval Income Fund (Annual Interval Fund)  Series III - Instn Growth Option,Low to Moderate
106736, HSBC Flexi Debt Fund-Reg.Growth,Low to Moderate
106737, HSBC Flexi Debt Fund-Growth,Low to Moderate
106738, HSBC Flexi Debt Fund - Fortnightly IDCW,Low to Moderate
106739, HSBC Flexi Debt Fund - Monthly IDCW,Low to Moderate
106741, HSBC Flexi Debt Fund - Regular Monthly IDCW,Low to Moderate
106760, ICICI Prudential Interval Fund Annual Interval Plan II - Dividend,Low to Moderate
106761, ICICI Prudential Interval Fund Annual Interval Plan II - Growth,Low to Moderate
106762, ICICI Prudential Interval Fund - Annual Interval Plan II - Retail Dividend,Low to Moderate
106763, ICICI Prudential Interval Fund - Annual Interval Plan II - Retail Growth,Low to Moderate
106770, HSBC Flexi Debt Fund - Reg. Fortnightly IDCW,Low to Moderate
106777, ICICI Prudential Interval Fund - Annual Interval Plan III - Retail Growth,Low to Moderate
106778, ICICI Prudential Interval Fund - Annual Interval Plan III - Retail Dividend,Low to Moderate
106779, ICICI Prudential Interval Fund Annual Interval Plan III - Growth,Low to Moderate
106780, ICICI Prudential Interval Fund Annual Interval Plan III - Dividend,Low to Moderate
106793, HDFC ARBITRAGE FUND - Wholesale Growth Option,Low to Moderate
106795, HDFC ARBITRAGE FUND - Wholesale IDCW Option,Low to Moderate
106796, HDFC ARBITRAGE FUND - Retail Growth Option,Low to Moderate
106797, HDFC ARBITRAGE FUND - Retail Quarterly IDCW Option,Low to Moderate
106799, HDFC ARBITRAGE FUND - Retail IDCW Option,Low to Moderate
106821, ICICI Prudential Smallcap Fund - Institutional Growth,Low to Moderate
106822, ICICI Prudential Smallcap Fund - IDCW,Low to Moderate
106823, ICICI Prudential Smallcap Fund - Growth,Low to Moderate
106828, ICICI Prudential Interval Fund II - Quarterly Interval Plan A - Retail Dividend,Low to Moderate
106829, ICICI Prudential Interval Fund II - Quarterly Interval Plan A - Retail Growth,Low to Moderate
106830, ICICI Prudential Interval Fund Annual Interval Plan IV -  Dividend,Low to Moderate
106831, ICICI Prudential Interval Fund Annual Interval Plan IV - Growth,Low to Moderate
106832, ICICI Prudential Interval Fund - Annual Interval Plan IV - Retail Dividend,Low to Moderate
106833, ICICI Prudential Interval Fund - Annual Interval Plan IV - Retail Growth,Low to Moderate
106838, HDFC Floating Rate Debt Fund - Daily IDCW Option,Low to Moderate
106839, HDFC Floating Rate Debt Fund - Monthly IDCW Option,Low to Moderate
106840, HDFC Floating Rate Debt Fund - Weekly IDCW Option,Low to Moderate
106841, HDFC Floating Rate Debt Fund - Growth Option,Low to Moderate
106842, Kotak Money Market Scheme - (Daily Reinvestment of Income Distribution cum capital withdrawal option),Low to Moderate
106871, LIC MF Large Cap Fund-Regular Plan-Growth,Low to Moderate
106872, Aditya Birla Sun Life International Equity Fund - Plan A - Regular - IDCW,Low to Moderate
106873, Aditya Birla Sun Life International Equity Fund - Plan A - Growth - Regular Plan,Low to Moderate
106875, Aditya Birla Sun Life International Equity Fund - Plan B - Regular - IDCW,Low to Moderate
106876, Aditya Birla Sun Life International Equity Fund - Plan B - Growth - Regular Plan,Low to Moderate
106885, ICICI Prudential Interval Fund II - Quarterly Interval Plan B - Retail Dividend,Low to Moderate
106886, ICICI Prudential Interval Fund II - Quarterly Interval Plan B - Retail Growth,Low to Moderate
106929, Kotak PSU Bank ETF,Low to Moderate
106976, ICICI Prudential Interval Fund II - Quarterly Interval Plan C - Retail Growth,Low to Moderate
106977, ICICI Prudential Interval Fund II - Quarterly Interval Plan C - Retail Dividend,Low to Moderate
106978, Franklin Asian Equity Fund - IDCW ,Low to Moderate
106979, Franklin Asian Equity Fund - Growth Plan,Low to Moderate
106980, UTI Short Term Income Fund - Regular Plan - Quarterly IDCW,Low to Moderate
107070, UTI FIIF Annual Interval Plan IV - Regular Plan - IDCW,Low to Moderate
107071, UTI Fixed Interval Income Fund (Annual Interval Plan) Series IV - Regular Plan - Growth Option,Low to Moderate
107088, UTI Fixed  Income Interval Fund ( Half Yearly Plan - I) - Regular Plan - Growth Option,Low to Moderate
107089, UTI FIIF Half Yearly Plan I - Regular Plan - IDCW,Low to Moderate
107138, ICICI Prudential Interval Fund II - Quarterly Interval Plan D - Retail Dividend,Low to Moderate
107139, ICICI Prudential Interval Fund II - Quarterly Interval Plan D - Retail Growth,Low to Moderate
107193, UTI Fixed Income Interval Fund - Monthly Interval Plan II-Regular Plan - Growth Option,Low to Moderate
107195, UTI FIIF Monthly Interval Plan II - Regular Plan - Monthly IDCW,Low to Moderate
107226, UTI FIIF Half Yearly Plan II - Regular Plan - IDCW,Low to Moderate
107228, UTI Fixed Income Interval Fund ( Half Yearly Plan-II)- Regular Plan - Growth Option,Low to Moderate
107247, Franklin India Ultra Short Bond Fund - Retail - Growth,Low to Moderate
107248, Franklin India Ultra Short Bond Fund - Institutional - Growth,Low to Moderate
107249, Franklin India Ultra Short Bond Fund - Super Institutional - Growth,Low to Moderate
107250, Franklin India Ultra Short Bond Fund - Super Institutional Plan - Daily - IDCW,Low to Moderate
107251, Franklin India Ultra Short Bond Fund - Institutional Plan - Daily - IDCW,Low to Moderate
107252, Franklin India Ultra Short Bond Fund - Retail Plan - Daily - IDCW,Low to Moderate
107287, JM Tax Gain Fund (Regular) - IDCW,Low to Moderate
107288, JM Tax Gain Fund (Regular) - Growth option,Low to Moderate
107309, ICICI Prudential Interval Fund II - Quarterly Interval Plan F - Retail Dividend,Low to Moderate
107310, ICICI Prudential Interval Fund II - Quarterly Interval Plan F - Retail Growth,Low to Moderate
