scheme_code,scheme_name,Risk,nav,scheme_category,nfund_houseav,scheme_type,fund_house
100120, HDFC Balanced Advantage Fund - IDCW Plan,nan,25.98700,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,,Open Ended Schemes,HDFC Mutual Fund
100123, HDFC Income Fund - Quarterly IDCW Option,nan,10.07970,Debt Scheme - Medium to Long Duration Fund,,Open Ended Schemes,HDFC Mutual Fund
100124, HDFC Income Fund - Growth Option,nan,16.12670,Debt Scheme - Medium to Long Duration Fund,,Open Ended Schemes,HDFC Mutual Fund
100152, Principal Nifty 100 Equal Weight Fund-Income Distribution CUM Capital Withdrawal,nan,19.56030,Other Scheme - Index Funds,,Open Ended Schemes,Principal Mutual Fund
100153, Principal Nifty 100 Equal Weight Fund-Growth,nan,25.50040,Other Scheme - Index Funds,,Open Ended Schemes,Principal Mutual Fund
100156, Principal Tax Savings Fund,nan,74.21000,Equity Scheme - ELSS,,Open Ended Schemes,Principal Mutual Fund
100174, quant Tax Plan - IDCW Option - Regular Plan,nan,14.10580,Equity Scheme - ELSS,,Open Ended Schemes,quant Mutual Fund
100175, quant Tax Plan - Growth Option - Regular Plan,nan,40.10400,Equity Scheme - ELSS,,Open Ended Schemes,quant Mutual Fund
100176, quant Small Cap Fund - IDCW Option - Regular Plan,nan,15.44010,Equity Scheme - Small Cap Fund,,Open Ended Schemes,quant Mutual Fund
100177, quant Small Cap Fund - Growth - Regular Plan,nan,18.28990,Equity Scheme - Small Cap Fund,,Open Ended Schemes,quant Mutual Fund
100218, JM Large Cap Fund (Regular) - IDCW ,nan,17.16000,Equity Scheme - Large Cap Fund,,Open Ended Schemes,JM Financial Mutual Fund
100219, JM Large Cap Fund (Regular) - Growth Option,nan,33.69000,Equity Scheme - Large Cap Fund,,Open Ended Schemes,JM Financial Mutual Fund
100220, JM Equity Hybrid Fund (Regular) - IDCW ,nan,15.56000,Hybrid Scheme - Aggressive Hybrid Fund,,Open Ended Schemes,JM Financial Mutual Fund
100221, JM Equity Hybrid Fund (Regular) -Growth Option,nan,20.48000,Hybrid Scheme - Aggressive Hybrid Fund,,Open Ended Schemes,JM Financial Mutual Fund
100222, JM Income Fund (Regular) - Quarterly IDCW ,nan,10.04410,Debt Scheme - Medium to Long Duration Fund,,Open Ended Schemes,JM Financial Mutual Fund
100223, JM Income Fund (Regular) - Growth Option,nan,27.70410,Debt Scheme - Medium to Long Duration Fund,,Open Ended Schemes,JM Financial Mutual Fund
100233, JM Liquid Fund (Regular) - Weekly IDCW,nan,10.31110,Debt Scheme - Liquid Fund,,Open Ended Schemes,JM Financial Mutual Fund
100234, JM Liquid Fund - Growth Option,nan,19.25500,Debt Scheme - Liquid Fund,,Open Ended Schemes,JM Financial Mutual Fund
100244, JM Liquid Fund (Regular) - Quarterly IDCW,nan,11.08590,Debt Scheme - Liquid Fund,,Open Ended Schemes,JM Financial Mutual Fund
100247, JM Liquid Fund (Regular) - Super Institutional Plan - Growth Option,nan,11.02230,Debt Scheme - Liquid Fund,,Open Ended Schemes,JM Financial Mutual Fund
100254, JM Value Fund (Regular) - Growth Option,nan,17.54000,Equity Scheme - Value Fund,,Open Ended Schemes,JM Financial Mutual Fund
100264, Kotak Gilt-Investment Regular-Payout of Income Distribution cum capital withdrawal option,Moderate,10.86970,Debt Scheme - Gilt Fund,,Open Ended Schemes,Kotak Mahindra Mutual Fund
100265, Kotak Gilt-Investment Regular-Growth,Moderate,22.59870,Debt Scheme - Gilt Fund,,Open Ended Schemes,Kotak Mahindra Mutual Fund
100280, Kotak Gilt-Investment  Provident Fund and Trust-Payout of Income Distribution cum capital withdrawal option,Moderate,10.73760,Debt Scheme - Gilt Fund,,Open Ended Schemes,Kotak Mahindra Mutual Fund
100281, Kotak Gilt-Investment  Provident Fund and Trust-Growth,Moderate,22.80480,Debt Scheme - Gilt Fund,,Open Ended Schemes,Kotak Mahindra Mutual Fund
100286, Kotak Equity Hybrid - Payout of Income Distribution cum capital withdrawal option,High,23.65500,Hybrid Scheme - Aggressive Hybrid Fund,,Open Ended Schemes,Kotak Mahindra Mutual Fund
100291, Kotak Bond-Deposit-Dividend,Low to Moderate,11.17300,Direct,,120471;INF192K01EA7;-;JM Short Term Fund,Kotak Mahindra Mutual Fund
